"","id","fast_greedy","walks","infomap","louvain"
"737","454",2,2,5,2
"738","473",2,2,5,2
"739","447",2,2,5,2
"740","504",2,2,5,2
"741","709",1,1,2,4
"742","673",1,1,2,4
"743","476",2,2,5,2
"744","474",2,2,5,2
"745","586",2,2,5,2
"746","637",1,1,2,4
"747","623",1,1,2,4
"748","629",1,1,2,4
"749","752",1,1,2,4
"750","777",1,1,2,4
